ID,EN,FR,DE
2377,picardy,picardie,picardie
2378,spare part,piece detachee,ersatzteil
2379,piedmont,piemont,piemont
2380,international arbitration,arbitrage international,internationale schiedsgerichtsbarkeit
2381,precious stones,pierre precieuse,edelstein
2382,fuel cell,pile a combustible,brennstoffzelle
2383,piracy,piraterie,seerauberei
2384,fish farming,pisciculture,fischzucht
2385,cycle track,piste cyclable,radweg
2386,investment transaction,placement de capitaux,kapitalanlage
2387,tariff ceiling,plafond tarifaire,zollplafond
2388,political arbitration,arbitrage politique,politische schlichtung
2389,plain,plaine,ebene
2390,anti-crisis plan,plan anticrise,antikrisenplan
2391,town-planning scheme,plan d'urbanisme,bebauungsplan
2392,colombo plan,plan de colombo,colombo-plan
2393,development plan,plan de developpement,entwicklungsplan
2394,financing plan,plan de financement,finanzierungsplan
2395,plankton,plancton,plankton
2396,arboriculture,arboriculture,baumzucht
2397,educational planning,planification de l'education,bildungsplanung
2398,family planning,planification de la famille,familienplanung
2399,production planning,planification de la production,produktionsplanung
2400,transport planning,planification des transports,transportplanung
2401,market planning,planification du marche,marktplanung
2402,economic planning,planification economique,wirtschaftsplanung
2403,financial planning,planification financiere,finanzplanung
2404,tree,arbre,baum
2405,industrial planning,planification industrielle,industrieplanung
2406,national planning,planification nationale,staatliche planung
2407,regional planning,planification regionale,regionale planung
2408,sectoral planning,planification sectorielle,sektorielle planung
2409,seedling,plant,pflanzgut
2410,plantation,plantation,anpflanzung
2411,aquatic plant,plante aquatique,wasserpflanze
2412,fodder plant,plante fourragere,futterpflanze
2413,industrial plant,plante industrielle,industriell angebaute pflanze
2414,oleaginous plant,plante oleagineuse,olpflanze
2415,conifer,arbre resineux,nadelbaum
2416,root crop,plante sarclee,hackfrucht
2417,textile plant,plante textile,textilpflanze
2418,tropical plant,plante tropicale,tropische pflanze
2419,cultivation under plastic,plasticulture,folienanbau
2420,plasticiser,plastifiant,weichmacher
2421,plate,plat,platte
2422,political programme,programme politique,politisches programm
2423,continental shelf,plateau continental,festlandsockel
2424,platinum,platine,platin
2425,plaster,platre,gips
2426,deciduous tree,arbre feuillu,laubbaum
2427,full employment,plein-emploi,vollbeschaftigung
2428,lead,plomb,blei
2429,plutonium,plutonium,plutonium
2430,pneumatic tyre,pneumatique,bereifung
2431,un development programme,programme des nations unies pour le developpement,entwicklungsprogramm der vereinten nationen
2432,un environment programme,programme des nations unies pour l'environnement,umweltprogramm der vereinten nationen
2433,weight and size,poids et dimensions,gewichte und abmessungen
2434,retail outlet,point de vente,verkaufsstelle
2435,fish,poisson,fisch
2436,freshwater fish,poisson d'eau douce,susswasserfisch
2437,sea fish,poisson de mer,seefisch
2438,fresh fish,poisson frais,frischfisch
2439,poitou-charentes,poitou-charentes,poitou-charentes
2440,police,police,polizei
2441,criminal investigation department,police judiciaire,kriminalpolizei
2442,agricultural policy,politique agricole,agrarpolitik
2443,common agricultural policy,politique agricole commune,gemeinsame agrarpolitik
2444,national agricultural policy,politique agricole nationale,nationale agrarpolitik
2445,regional farm policy,politique agricole regionale,regionale agrarpolitik
2446,food policy,politique alimentaire,ernahrungspolitik
2447,banking policy,politique bancaire,bankpolitik
2448,budget policy,politique budgetaire,haushaltspolitik
2449,trade policy,politique commerciale,handelspolitik
2450,common commercial policy,politique commerciale commune,gemeinsame handelspolitik
2451,community policy,politique communautaire,gemeinschaftspolitik
2452,voluntary restraint agreement,accord de limitation,begrenzungsabkommen
2453,archaeology,archeologie,archaologie
2454,community employment policy,politique communautaire de l'emploi,beschaftigungspolitik der gemeinschaft
2455,common fisheries policy,politique commune de la peche,gemeinsame fischereipolitik
2456,common price policy,politique commune des prix,gemeinsame preispolitik
2457,common transport policy,politique commune des transports,gemeinsame transportpolitik
2458,short-term economic policy,politique conjoncturelle,konjunkturpolitik
2459,cultural policy,politique culturelle,kulturpolitik
2460,aid policy,politique d'aide,beihilfepolitik
2461,austerity policy,politique d'austerite,sparpolitik
2462,intervention policy,politique d'intervention,interventionspolitik
2463,investment policy,politique d'investissement,investitionspolitik
2464,defence policy,politique de defense,verteidigungspolitik
2465,development policy,politique de developpement,entwicklungspolitik
2466,financing policy,politique de financement,finanzierungspolitik
2467,education policy,politique de l'education,bildungspolitik
2468,employment policy,politique de l'emploi,beschaftigungspolitik
2469,business policy,politique de l'entreprise,unternehmenspolitik
2470,environmental policy,politique de l'environnement,umweltpolitik
2471,architecture,architecture,baukunst
2472,information policy,politique de l'information,informationspolitik
2473,communications policy,politique de la communication,kommunikationspolitik
2474,competition policy,politique de la concurrence,wettbewerbspolitik
2475,construction policy,politique de la construction,baupolitik
2476,fisheries policy,politique de la peche,fischereipolitik
2477,agricultural production policy,politique de la production agricole,agrarproduktionspolitik
2478,research policy,politique de la recherche,forschungspolitik
2479,health policy,politique de la sante,gesundheitspolitik
2480,birth policy,politique de natalite,geburtenpolitik
2481,production policy,politique de production,produktionspolitik
2482,solar architecture,architecture solaire,solararchitektur
2483,support policy,politique de soutien,stutzungspolitik
2484,population policy,politique demographique,bevolkerungspolitik
2485,east-west policy,politique des blocs,blockpolitik
2486,exchange policy,politique des changes,devisenpolitik
2487,export policy,politique des exportations,ausfuhrpolitik
2488,import policy,politique des importations,einfuhrpolitik
2489,prices policy,politique des prix,preispolitik
2490,incomes policy,politique des revenus,einkommenspolitik
2491,pay policy,politique des salaires,lohnpolitik
2492,archives,archives,archiv
2493,policy on agricultural structures,politique des structures agricoles,agrarstrukturpolitik
2494,transport policy,politique des transports,transportpolitik
2495,credit policy,politique du credit,kreditpolitik
2496,housing policy,politique du logement,wohnungspolitik
2497,economic policy,politique economique,wirtschaftspolitik
2498,energy policy,politique energetique,energiepolitik
2499,european defence policy,politique europeenne de defense,europaische verteidigungspolitik
2500,foreign policy,politique exterieure,aussenpolitik
2501,family policy,politique familiale,familienpolitik
2502,financial policy,politique financiere,finanzpolitik
2503,arctic,arctique,arktis
2504,fiscal policy,politique fiscale,steuerpolitik
2505,forestry policy,politique forestiere,forstpolitik
2506,government policy,politique gouvernementale,regierungspolitik
2507,industrial policy,politique industrielle,industriepolitik
2508,domestic policy,politique interieure,innenpolitik
2509,migration policy,politique migratoire,migrationspolitik
2510,monetary policy,politique monetaire,geld- und kreditpolitik
2511,agri-monetary policy,politique monetaire agricole,agrarwahrungspolitik
2512,ports policy,politique portuaire,hafenpolitik
2513,common ports policy,politique portuaire commune,gemeinschaftliche hafenpolitik
2514,silver,argent,silber
2515,regional policy,politique regionale,regionalpolitik
2516,community regional policy,politique regionale communautaire,regionalpolitik der gemeinschaft
2517,social policy,politique sociale,sozialpolitik
2518,structural policy,politique structurelle,strukturpolitik
2519,tariff policy,politique tarifaire,zollpolitik
2520,common tariff policy,politique tarifaire commune,gemeinsame zolltarifpolitik
2521,pollutant,polluant,schadstoff
2522,atmospheric pollutant,polluant atmospherique,luftverunreinigender stoff
2523,water pollutant,polluant de l'eau,wasserschadstoff
2524,pollution,pollution,umweltbelastung
2525,argentina,argentine,argentinien
2526,noise pollution,pollution acoustique,larmbelastigung
2527,atmospheric pollution,pollution atmospherique,luftverunreinigung
2528,chemical pollution,pollution chimique,chemische verunreinigung
2529,pollution from land-based sources,pollution tellurique,verschmutzung vom lande aus
2530,water pollution,pollution de l'eau,wasserverschmutzung
2531,food contamination,pollution des aliments,nahrungsmittelverseuchung
2532,coastal pollution,pollution des cotes,kustenverschmutzung
2533,pollution of waterways,pollution des cours d'eau,verschmutzung der wasserlaufe
2534,soil pollution,pollution du sol,bodenverseuchung
2535,marine pollution,pollution marine,meeresverschmutzung
2536,dry farming,aridoculture,trockenfeldbau
2537,organic pollution,pollution organique,organische verunreinigung
2538,pollution from agricultural sources,pollution par l'agriculture,verunreinigung durch die landwirtschaft
2539,radioactive pollution,pollution radioactive,radioaktive verseuchung
2540,stratospheric pollution,pollution stratospherique,verunreinigung der stratosphare
2541,thermal pollution,pollution thermique,warmebelastung
2542,transfrontier pollution,pollution transfrontiere,grenzuberschreitende umweltbelastung
2543,poland,pologne,polen
2544,mixed cropping,polyculture,vielseitiger anbau
2545,polymer,polymere,polymer
2546,polynesia,polynesie,polynesien
2547,french polynesia,polynesie francaise,franzosisch-polynesien
2548,potato,pomme de terre,kartoffel
2549,heat pump,pompe a chaleur,warmepumpe
2550,working population,population active,erwerbsbevolkerung
2551,working population engaged in agriculture,population active agricole,landwirtschaftliche erwerbsbevolkerung
2552,persons in work,population active occupee,erwerbstatige bevolkerung
2553,population of working age,population en age de travailler,bevolkerung im erwerbsfahigen alter
2554,world population,population mondiale,weltbevolkerung
2555,non-working population,population non active,nichterwerbsbevolkerung
2556,fishing agreement,accord de peche,fischereiabkommen
2557,chemical weapon,arme chimique,chemische waffe
2558,rural population,population rurale,landbevolkerung
2559,urban population,population urbaine,stadtbevolkerung
2560,swine,porcin,schwein
2561,fishing port,port de peche,fischereihafen
2562,puerto rico,porto rico,puerto rico
2563,portugal,portugal,portugal
2564,regions of portugal,regions du portugal,regionen portugals
2565,dominant position,position dominante,marktbeherrschende stellung
2566,postal and telecommunications services,postes et telecommunications,post- und fernmeldewesen
2567,conventional weapon,arme conventionnelle,konventionelle waffe
2568,potassium,potassium,kalium
2569,development potential,potentiel de developpement,entwicklungspotenzial
2570,apulia,pouilles,apulien
2571,push towing,poussage,schubschifffahrt
2572,dust,poussiere,staub
2573,political power,pouvoir politique,politische befugnis
2574,budgetary power,pouvoir budgetaire,haushaltsbefugnis
2575,purchasing power,pouvoir d'achat,kaufkraft
2576,power of assessment,pouvoir d'appreciation,beurteilungsspielraum
2577,power of implementation,pouvoir d'execution,ausfuhrungsbefugnis
2578,power of initiative,pouvoir d'initiative,initiativrecht
2579,supervisory power,pouvoir de controle,kontrollbefugnis
2580,power of decision,pouvoir de decision,entscheidungsbefugnis
2581,power to negotiate,pouvoir de negociation,verhandlungsbefugnis
2582,power of ratification,pouvoir de ratification,ratifizierungsbefugnis
